FULLDATE	MONTH	DATE	DAY	DISTANCE	DURATION
1/1/2015	1	1	THURSDAY	2.69	0:31:39
1/2/2015	1	2	FRIDAY	5.37	1:02:18
1/3/2015	1	3	SATURDAY	5.32	1:00:07
1/4/2015	1	4	SUNDAY	0.00	0:00:00
1/5/2015	1	5	MONDAY	5.29	1:01:15
1/6/2015	1	6	TUESDAY	2.71	0:31:30
1/7/2015	1	7	WEDNESDAY	5.33	1:02:20
1/8/2015	1	8	THURSDAY	5.29	1:05:20
1/9/2015	1	9	FRIDAY	5.28	1:03:15
1/10/2015	1	10	SATURDAY	2.57	0:30:38
1/11/2015	1	11	SUNDAY	3.01	0:33:23
1/12/2015	1	12	MONDAY	0.00	0:00:00
1/13/2015	1	13	TUESDAY	5.29	0:58:00
1/14/2015	1	14	WEDNESDAY	5.35	0:59:00
1/15/2015	1	15	THURSDAY	4.10	0:50:00
1/16/2015	1	16	FRIDAY	0.00	0:00:00
1/17/2015	1	17	SATURDAY	5.34	1:02:45
1/18/2015	1	18	SUNDAY	0.00	0:00:00
1/19/2015	1	19	MONDAY	5.36	1:02:25
1/20/2015	1	20	TUESDAY	0.00	0:00:00
1/21/2015	1	21	WEDNESDAY	5.34	1:03:15
1/22/2015	1	22	THURSDAY	5.35	1:02:14
1/23/2015	1	23	FRIDAY	5.34	1:04:23
1/24/2015	1	24	SATURDAY	2.67	0:29:02
1/25/2015	1	25	SUNDAY	5.30	1:00:37
1/26/2015	1	26	MONDAY	0.00	0:00:00
1/27/2015	1	27	TUESDAY	5.32	1:02:00
1/28/2015	1	28	WEDNESDAY	5.34	0:58:00
1/29/2015	1	29	THURSDAY	2.64	0:30:32
1/30/2015	1	30	FRIDAY	3.03	0:35:00
1/31/2015	1	31	SATURDAY	5.80	1:05:00
2/1/2015	2	1	SUNDAY	0.00	0:00:00
2/2/2015	2	2	MONDAY	0.00	0:00:00
2/3/2015	2	3	TUESDAY	3.01	0:32:00
2/4/2015	2	4	WEDNESDAY	1.62	0:20:00
2/5/2015	2	5	THURSDAY	5.34	1:00:00
2/6/2015	2	6	FRIDAY	0.00	0:00:00
2/7/2015	2	7	SATURDAY	5.79	1:05:00
2/8/2015	2	8	SUNDAY	5.57	1:04:00
2/9/2015	2	9	MONDAY	0.00	0:00:00
2/10/2015	2	10	TUESDAY	6.00	1:10:00
2/11/2015	2	11	WEDNESDAY	3.01	0:35:00
2/12/2015	2	12	THURSDAY	2.70	0:32:00
2/13/2015	2	13	FRIDAY	6.00	1:10:00
2/14/2015	2	14	SATURDAY	0.00	0:00:00
2/15/2015	2	15	SUNDAY	0.00	0:00:00
2/16/2015	2	16	MONDAY	3.02	0:35:00
2/17/2015	2	17	TUESDAY	6.04	1:11:00
2/18/2015	2	18	WEDNESDAY	2.71	0:35:00
2/19/2015	2	19	THURSDAY	0.00	0:00:00
2/20/2015	2	20	FRIDAY	5.80	1:07:00
2/21/2015	2	21	SATURDAY	3.00	0:34:00
2/22/2015	2	22	SUNDAY	0.00	0:00:00
2/23/2015	2	23	MONDAY	0.00	0:00:00
2/24/2015	2	24	TUESDAY	6.00	1:10:00
2/25/2015	2	25	WEDNESDAY	3.00	0:33:00
2/26/2015	2	26	THURSDAY	6.00	1:10:00
2/27/2015	2	27	FRIDAY	3.00	0:33:15
2/28/2015	2	28	SATURDAY	6.00	1:13:00
3/1/2015	3	1	SUNDAY	0.00	0:00:00
3/2/2015	3	2	MONDAY	6.00	1:10:00
3/3/2015	3	3	TUESDAY	1.32	0:16:00
3/4/2015	3	4	WEDNESDAY	5.76	1:10:00
3/5/2015	3	5	THURSDAY	2.92	0:35:00
3/6/2015	3	6	FRIDAY	6.09	1:11:00
3/7/2015	3	7	SATURDAY	3.10	0:31:30
3/8/2015	3	8	SUNDAY	0.00	0:00:00
3/9/2015	3	9	MONDAY	6.00	1:00:32
3/10/2015	3	10	TUESDAY	3.00	0:29:00
3/11/2015	3	11	WEDNESDAY	6.05	1:00:47
3/12/2015	3	12	THURSDAY	3.00	0:29:28
3/13/2015	3	13	FRIDAY	6.00	1:03:35
3/14/2015	3	14	SATURDAY	1.74	0:16:11
3/15/2015	3	15	SUNDAY	0.00	0:00:00
3/16/2015	3	16	MONDAY	6.18	1:04:12
3/17/2015	3	17	TUESDAY	6.00	1:03:47
3/18/2015	3	18	WEDNESDAY	5.91	1:05:34
3/19/2015	3	19	THURSDAY	2.17	0:24:27
3/20/2015	3	20	FRIDAY	6.14	1:03:31
3/21/2015	3	21	SATURDAY	2.17	0:23:18
3/22/2015	3	22	SUNDAY	0.00	0:00:00
3/23/2015	3	23	MONDAY	5.60	1:01:38
3/24/2015	3	24	TUESDAY	0.00	0:00:00
3/25/2015	3	25	WEDNESDAY	5.80	1:07:09
3/26/2015	3	26	THURSDAY	0.00	0:00:00
3/27/2015	3	27	FRIDAY	0.00	0:00:00
3/28/2015	3	28	SATURDAY	0.00	0:00:00
3/29/2015	3	29	SUNDAY	0.00	0:00:00
3/30/2015	3	30	MONDAY	6.00	1:04:00
3/31/2015	3	31	TUESDAY	0.00	0:00:00
4/1/2015	4	1	WEDNESDAY	6.00	1:03:00
4/2/2015	4	2	THURSDAY	0.00	0:00:00
4/3/2015	4	3	FRIDAY	5.92	1:02:00
4/4/2015	4	4	SATURDAY	6.00	1:00:00
4/5/2015	4	5	SUNDAY	0.00	0:00:00
4/6/2015	4	6	MONDAY	7.05	1:15:00
4/7/2015	4	7	TUESDAY	3.00	0:33:00
4/8/2015	4	8	WEDNESDAY	7.05	1:16:00
4/9/2015	4	9	THURSDAY	3.00	0:31:00
4/10/2015	4	10	FRIDAY	0.00	0:00:00
4/11/2015	4	11	SATURDAY	7.02	1:10:00
4/12/2015	4	12	SUNDAY	0.00	0:00:00
4/13/2015	4	13	MONDAY	7.06	1:10:00
4/14/2015	4	14	TUESDAY	0.00	0:00:00
4/15/2015	4	15	WEDNESDAY	7.05	1:10:00
4/16/2015	4	16	THURSDAY	3.00	0:35:00
4/17/2015	4	17	FRIDAY	0.00	0:00:00
4/18/2015	4	18	SATURDAY	8.00	1:22:00
4/19/2015	4	19	SUNDAY	0.00	0:00:00
4/20/2015	4	20	MONDAY	3.04	0:32:00
4/21/2015	4	21	TUESDAY	8.65	1:35:00
4/22/2015	4	22	WEDNESDAY	0.00	0:00:00
4/23/2015	4	23	THURSDAY	7.01	1:14:01
4/24/2015	4	24	FRIDAY	0.00	0:00:00
4/25/2015	4	25	SATURDAY	8.00	1:23:56
